NSN;Price;common_name
3510-00-222-1457;57.44;Laundry Bag Pin
3510-00-273-9738;38.53;Laundry Bag
3510-00-273-9739;83.38;Laundry Bag
3510-01-622-7152;8.07;Laundry Net
3510-01-622-7153;9.86;Laundry Net
3540-00-234-6743;54.4;Steel Strapping Sealer
3540-00-273-8821;500.25;Strapping Coil Hand Truck
3540-00-344-8642;512.76;Strapping Coil Hand Truck
3540-00-565-6240;853.3;Strapping and Sealing Kit
3540-00-565-6241;853.3;Strapping and Sealing Kit
3540-00-565-6242;853.3;Strapping and Sealing Kit
3540-00-565-6243;853.3;Strapping and Sealing Kit
3540-00-565-6244;1121.25;Strapping and Sealing Kit
3540-01-518-6568;5425.96;Table-Top Packaging System
3540-01-529-1460;3196.86;Sealing Machine
3540-01-669-5937;6916.56;Packaging System with Stand and Roller
3590-00-058-1837;485.42;Barber's Kit
3740-00-252-3384;3.42;Mouse Trap
3750-00-243-2408;32.45;Garden Rake
3750-00-599-6101;27.52;Lawn Rake
3750-00-641-1197;42.97;Pruning Shears (Two Hand Loppers)
3750-00-641-5587;9.63;Pruning Shears (One Hand)
3750-01-420-0677;286.43;Weed Trimmer
3750-01-611-7559;35.22;Garden Hoe
3750-01-611-8751;37.17;Rake (Garden)
3750-01-611-8752;25.81;Rake (Leaf)
3750-01-615-8542;32.56;Rake (Garden)
3920-00-847-1305;49.79;Hand Truck
3990-00-171-9774;57.13;Load Binder
3990-00-171-9775;86.96;Load Binder
3990-00-596-7051;80.17;Load Binder
4010-00-165-5605;29.76;Chain Link
4010-00-165-5607;37.43;Chain Link
4010-00-171-4426;43.97;Single-Leg Chain Assembly
4010-00-171-4427;75.84;Single-Leg Chain Assembly
4010-00-191-0091;28.65;Chain Link
4020-00-068-7906;117.19;Rope
4020-00-068-7907;168.48;Rope
4020-00-141-7152;733.7;Rope
4020-00-240-2142;170.58;Sash Cord
4020-00-240-2146;175.88;Cord
4020-00-241-8439;35.22;Sash Cord
4020-00-289-8616;269.1;Rope
4020-00-551-3343;141.16;Sash Cord
4020-00-782-5574;26.8;Twine
4020-00-919-3443;1196;Rope
4020-00-928-3438;63.37;Rope
4020-00-968-1350;59.46;Rope
4020-00-968-1351;98.04;Rope
4020-00-968-1356;168.48;Rope
4020-00-968-1357;254.73;Rope
4020-00-968-1358;435.85;Rope
4020-01-463-5852;112.7;Cord
4030-00-266-0085;1.35;Rope Thimble
4110-00-203-0565;232.55;Office Water Cooler
4110-00-255-8760;491.11;Office Water Cooler
4130-00-541-3220;33.21;Air Conditioner Filter
4130-00-720-4143;35.31;Air Conditioner Filter
4130-00-756-1840;16.42;Air Conditioner Filter
4140-00-256-9912;39.69;Circulating Fan
4140-00-851-9319;45.51;Circulating Fan
4140-00-961-5480;66.91;Circulating Fan
4140-01-278-1527;419.87;Circulating Fan
4210-00-165-4703;48.67;Fire Extinguisher
4210-00-595-1777;241.9;Fire Extinguisher
4210-00-775-0127;83.27;Fire Extinguisher
4210-00-889-2491;145.73;Fire Extinguisher
4210-00-889-2492;139.66;Fire Extinguisher
4210-00-965-1105;48.31;Fire Extinguisher
4210-00-965-1107;132.96;Fire Extinguisher
4210-01-245-9850;40.23;Fire Extinguisher
4240-00-052-3776;3.46;Safety Goggles
4240-00-203-3804;9.95;Safety Goggles
4240-00-262-7092;3.39;Industrial Goggle Lenses
4240-00-262-7099;5.75;Industrial Goggle Lenses
4240-00-269-7912;8;Safety Goggles
4240-00-269-9460;9.96;Safety Glasses
4240-00-270-4415;25.19;Hand Held Arc Viewing Shield
4240-00-516-4527;7.98;Safety Glasses
4240-00-516-4728;7.58;Safety Glasses
4240-00-540-0623;50.31;Welder's Helmet
4240-00-542-2048;9.79;Face Shield
4240-01-292-2818;6.59;Safety Goggles
4240-01-434-4559;9.43;Goggles
4240-01-463-5449;71.3;Disposable Particulate Respirator
4240-01-492-0177;33.35;Disposable Particulate Respirator
4320-00-852-9036;32.21;Tire Pump
4460-01-443-4895;371.88;Electronic Air Freshener
4460-01-443-4896;52.6;Air Freshener Cartridge
4460-01-443-4897;52.6;Air Freshener Cartridge
